Who can apply to be a Baby Bonus Approved Institution?,"The following organisations are eligible to apply to be a Baby Bonus Approved Institution: Child care centres and kindergartens licensed by the Early Childhood Development Agency (ECDA)  Special Education schools registered with the Ministry of Education (MOE) or the Council for Private Education (CPE)  Early intervention programmes registered with the Ministry of Social and Family Development (MSF)  Assistive technology device providers registered either with SG Enable, the Ministry of Health (MOH) or Accounting and Corporate Regulatory Authority (ACRA) Hospitals, clinics and other healthcare institutions licensed by the Ministry of Health (MOH) Pharmacies registered with the Health Sciences Authority (HSA) Optical shops registered with Accounting and Corporate Regulatory Authority (ACRA)",12
How can I check whether my organisation is eligible to be a Baby Bonus Approved Institution?,You can check your organisation's eligibility to be a Baby Bonus Approved Institution on the Approved Institution Portal.,13
Are eligible institutions required to register all of its business entities/centres belonging to the same Company as a Baby Bonus AI?,"Under the Approved Institution Terms and Conditions, each business outlet or centre belonging to the same eligible institution must be independently registered as a Baby Bonus Approved Institution before it can deduct funds from the Child Development Account or CDA for approved uses. For example, if a company owns 3 business outlets in Ang Mo Kio, Bedok, and Clementi, all three outlets must be registered independently as a Baby Bonus Approved Institution before they can deduct funds from the CDA for approved uses.",14
What is CorpPass?,"CorpPass stands for Singapore Corporate Access. Its concept is similar to SingPass. SingPass is for individuals while CorpPass is for organisations. In order to continue transacting online with Government agencies, your entity will need to have a CorpPass by 31 Aug 2018. You can visit the CorpPass website to find out more on how to register for CorpPass.",15
I am an Approved Person (AP) but do not have a CorpPass account. Can I still login to Approved Institution (AI) Portal using Singpass to access the e-services?,Approved Persons will no longer be able to use SingPass to access the Approved Institution (AI) Portal from 1 September 2018. Please register for CorpPass soon if your entity has not done so.,16
My entity has already registered for CorpPass. However I am still not able to login to Approved Institution (AI) Portal to access AI e-services.,"You must be an Approved Person or Authorised Affiliate in order to log in to the Approved Institution Portal or AI Portal. If you are an Approved Person or Authorised Affiliate and wish to access AI e-services with your CorpPass, your entity’s nominated CorpPass Administrator has to first assign you the user role for “Baby Bonus Approved Institutions (BBAI) digital service” on the CorpPass website. Users who have CorpPass but are not Approved Persons would not be able to access.",17
Can I still transact using my SingPass after signing up for CorpPass?,You can continue to use your SingPass to perform Government-to-Business (G2B) transactions on behalf of your entity until 31 August 2018. Agencies must register for CorpPass by 31 August 2018 in order to continue transacting online with the Government agencies from 1 September 2018.,18
Why must we transit to CorpPass?,"Businesses currently conduct business transactions through multiple digital identities such as SingPass and EASY. Having a single corporate digital identity will increase convenience for users who transact with multiple government agencies, as they no longer need to handle multiple login IDs. CorpPass will also allow businesses to have greater control, as they will be able to grant and manage employee access to Government digital services.",19
Is my entity eligible for CorpPass?,"All Local Agencies with a Unique Entity Number, or UEN, can apply for CorpPass. Local entities without a UEN are not eligible. Foreign entities and overseas organisations are eligible to apply, even if they do not have a local UEN. If you are eligible, you can apply for CorpPass on the CorpPass website.",20
"Is it true that as long as I have a CorpPass, I can apply to be an Approved Institution or Approved Person?","CorpPass users must have a NRIC or FIN in order to apply to be an Approved Institution or Approved Person. If you are a foreigner and do not have a FIN, you may wish to consider nominating another person in your organisation to apply instead. Please also note that to be an Approved Institution, your organisation must be licensed or registered with the relevant regulatory or licensing body. An Approved Person should be a person authorised to make decision on behalf of the organisation.",21
I am a CorpPass user and I have registered my entity as an Approved Institution (AI) on behalf of my Approved Person (AP). How can I complete the AI acceptance?,"The Approved Institution acceptance can only be made by your entity's Authorised Person. The Authorised Person will receive a notification to complete the Approved Institution acceptance. If your Authorised Person has a CorpPass, he or she can login to complete the acceptance. If not, your entity's nominated CorpPass administrator has to first assign the Authorised Person the user role for ""Baby Bonus Approved Institutions (BBAI) digital service"" on the CorpPass website.",22
I am an Approved Person (AP) and have submitted a request for a change of AP. How can the new AP accept the terms and conditions?,"A notification will be sent to the new AP to accept the terms and conditions. However, the new AP must first be assigned a CorpPass for the Baby Bonus Approved Institution e-Service.",23
How can I update MSF of the details of my business and the Approved Persons(AP) particulars?,"If the Approved Person (AP) of the organisation wishes to update his or her business and personal particulars, he or she can do so by selecting the ‘Update AI Details’ service on our Approved Institution Portal. Child care centres licensed by the Early Childhood Development Agency or ECDA; kindergartens registered with ECDA; healthcare institutions licensed by the Ministry of Health; and pharmacies licensed by the Health Sciences Authority that wish to update their business particulars, should do so with their respective governing bodies. The new information will then be updated automatically in the Approved Institution Portal.",24
Can my organisation withdraw from the Approved Institution (AI) status?,"Organisations who wish to withdraw their Approved Institution (AI) status should submit their request using the ""Withdraw AI Status"" service on our Approved Institution Portal.",25
"If an Approved Institution (AI) needs to update its bank account details, does it need to inform Ministry of Social and Family Development (MSF)?","To update bank account details, Approved Institutions (AIs) may use the ""Update AI details"" service on the Approved Institution Portal. If the AI has an existing GIRO/Direct Debit Authorisation (DDA) arrangement, they should inform their new bank.",26
How can I change the Approved Person for my Approved Institution?,The existing Approved Person can submit a request to change Approved Person using ‘Update AI Details’ service on our Approved Institution Portal.,27
What Child Development Account (CDA) deduction records do Approved Institutions (AI) need to maintain?,Approved Institutions need to maintain the following records on Child Development Account or CDA deductions for a period of 3 years from the date of withdrawal:    Name of child who is the CDA member or the child's sibling CDA Trustee Amount deducted from the CDA Transaction date and transaction details.   The records and supporting documents shall be maintained in a format which can be retrieved for checks and verification.,28
How do I ensure proper deductions from the Child Development Account (CDA)?,"To ensure proper deductions from the Child Development Account or CDA, Approved Institutions should verify that the person making withdrawals is the CDA trustee. For recurring expenses such as monthly school fees or one-off deductions above $500, Approved Institutions are required to request for documentary proof, such as the child’s birth certificate. If parents intend to use the child’s sibling’s CDA for payment, parents can also log in to the Baby Bonus mobile application with their SingPass to use the Sibling Check function to retrieve details of the child and the child’s sibling for Approved Institution’s verification.",29
How can I check the identity of the Child Development Account (CDA) member and the siblings?,Approved Institutions can identify the Child Development Account (CDA) member through the child's name embossed on the CDA NETS card. Approved Institutions can also ask parents for the child's Birth Certificate or the latest CDA statement issued by the bank for further verifications. Please note that Approved Institutions need to check the sibling relationship for one-off expenses above $500 or recurring expenses such as monthly school fees. The verification of the sibling relationship can be done by requesting the parents to log in to the Baby Bonus mobile application with their SingPass and use the Sibling Check function to retrieve details of their children.,30
When do I need to check the relationship between the Child Development Account (CDA) member and his/her siblings?,Approved Institutions (AIs) need to check the relationship between the Child Development Account (CDA) member and his sibling for one-off expenses that are above $500 or recurrent expenses such as monthly school fees. The check can be done by asking  parents to log in to the Baby Bonus mobile application with their SingPass and use the Sibling Check function to retrieve the details of their children.,31
What is the penalty for misuse of the Child Development Account (CDA)?,"Parents (CDA trustees), Approved Persons or Approved Institutions can be held liable for any misuse of the CDA. To better understand the terms governing the use of the CDA, please refer to the Terms & Conditions on our Approved Institution Portal.",32
When do Approved Institutions need to make a refund to the Child Development Account (CDA)?,"For refunds of fees paid out from a Child Development Account (CDA), Approved Institutions (AIs) should refund the amount directly to the CDA using one of the following options: Option 1: Through interbank GIRO using the corporate bank account that the AI has registered with MSF. Option 2: Through the AI Portal using the Refund to CDA. The refund should be done within the timeframe agreed upon by both the CDA trustee and the AI. Note: To use the refund function on the AI Portal, a one-time Direct Debit Authorisation (DDA) application is to be submitted to the bank through MSF. You can find the DDA form on our AI Portal.",33
"I tried to make a refund using 'Refund to the Child Development Account (CDA) service'. It indicates that ""the selected institution is not allowed to perform the refund request"".","Approved Institutions (AI) using the 'Refund to the Child Development Account (CDA)’ service for the first time must submit a one-time Direct Debit Authorisation (DDA) application to the bank through MSF. You can find the DDA form on the Approved Institution Portal. You can send the DDA application form by post to Services Processing Officer Ministry of Social and Family Development Family Development Group (Baby Bonus & Leave Branch) Family@Enabling Village 20 Lengkok Bahru, #04-02 Singapore 159053. You do not need to complete any other forms for tracking of refunds or keep MSF informed of the refunds. You can keep track of your refunds by referring to your own corporate account.",34
Can the Approved Institution (AI) make a refund in the Child Development Account (CDA) on behalf of parents for the payments made in cash?,Approved Institutions should refund any cash payments collected from parents in cash as the Government will not match any deposits made by Approved Institution in the Child Development Account.,35
I am an Approved Institution. I have submitted a refund request using the AI portal. How long will it take for the refund to be credited into the child’s CDA?,It will take around two weeks for the refunds to be credited into the child’s CDA. Please ensure that the CDA Trustee is aware of the time needed for the refund to be completed.,36
I am an Approved Institution. I have submitted a refund request using AI portal How can I check if the refund has been credited into the child’s CDA?,It will take around two weeks for the refund to be credited into the child’s CDA.     You can check your corporate bank records after two weeks.,37
I am supposed to receive a refund from the Approved Institution. How do I know whether the refund has been credited into my child’s CDA?,"If the Approved Institution has submitted a refund request using Baby Bonus Online, it will take around two weeks for the refund to be credited into the child’s CDA.     You can check your child’s CDA for the refund after two weeks.",38
Can Approved Institutions (AIs) deduct administrative fees from the Child Development Account (CDA)?,"All Approved Institutions (AIs) are not allowed to deduct administrative fees from the CDA. Funds in the CDA are intended to support the developmental needs of children and should not be diverted to pay for administrative fees. This includes, but are not limited to, (a) Charges for processing CDA payments, (b) Penalty fees for the late payment of school fees, and (c) Penalty charges and Bank charges for failed direct debits in the CDA. Please click here to check the types of expenses that an AI can deduct from the CDA.",39
How do I join the Baby Bonus Scheme?,"To join the Baby Bonus Scheme, please start by checking your child’s eligibility on Baby Bonus Online. If your child qualifies, you may proceed to apply by following these steps. STEP 1: Visit Baby Bonus Online. STEP 2: Click “Join”. It will bring you to a SingPass log-in page. STEP 3: Log in using your SingPass. STEP 4: Complete the relevant sections in the application form. STEP 5: Click “Submit” when done. When applying, please note that both parents have to decide which parent or a third party will receive the cash gifts as a Nominated Bank Account Holder, and manage the Child Development Account (CDA) as a CDA trustee. You may wish to know that the Nominated Bank Account Holder for the cash gift and the CDA trustee can be the same person or different persons. The CDA trustee has to be above the age of 18 and must not be a bankrupt.",40
What are the Baby Bonus Benefits for my child?,"You can check your child’s eligibility and Baby Bonus Benefits on Baby Bonus Online using “Check Eligibility”.    Alternatively, you can let us know which date your child is born to help us answer your question. Born on or after 24 March 2016 Please select your child birth order. You may wish to know that the birth order of the child is tied to his or her birth mother. A stillbirth is counted as a birth order. Non-citizen children and stepchildren are not considered in the counting of birth orders. First and Second Goes to MQA BBB - after 24 Mar 2016 - First and Second Third and Fourth Goes to MQA BBB - after 24 Mar 2016 – Third and Fourth Fifth and beyond Goes to MQA BBB - after 24 Mar 2016 – Fifth and Beyond Born on 1 January 2015 to 23 March 2016 Please select your child birth order. You may wish to know that the birth order of the child is tied to his or her birth mother. A stillbirth is counted as a birth order. Non-citizen children and stepchildren are not considered in the counting of birth orders. First and Second Goes to MQA BBB - 1 Jan 2015 to 23 Mar 2016 - First and Second Third and Fourth Goes to MQA BBB - 1 Jan 2015 to 23 Mar 2016 - Third and Fourth Fifth and beyond Goes to MQA BBB - 1 Jan 2015 to 23 Mar 2016 - Fifth and Beyond   Born on 26 August 2012 to 31 December 2014 Please select your child birth order. You may wish to know that the birth order of the child is tied to his or her birth mother. A stillbirth is counted as a birth order. Non-citizen children and stepchildren are not considered in the counting of birth orders. First and Second Goes to MQA BBB - 26 Aug 2012 to 31 Jan 2014 - First and Second Third and Fourth Goes to MQA BBB - 26 Aug 2012 to 31 Jan 2014 - Third and Fourth Fifth and beyond Goes to MQA BBB - 26 Aug 2012 to 31 Jan 2014 - Fifth and Beyond Born on 17 August 2008 to 25 August 2012 Please select your child birth order. You may wish to know that the birth order of the child is tied to his or her birth mother. A stillbirth is counted as a birth order. Non-citizen children and stepchildren are not considered in the counting of birth orders. First and Second Goes to BBB - 17 Aug 2008 to 25 Aug 2012 - First and Second Third and Fourth Goes to BBB - 17 Aug 2008 to 25 Aug 2012 - Third and Fourth Fifth and beyond Goes to BBB - 17 Aug 2008 to 25 Aug 2012 - Fifth and Beyond Born on 1 January 2006 to 16 August 2008 Please select your child birth order. You may wish to know that the birth order of the child is tied to his or her birth mother. A stillbirth is counted as a birth order. Non-citizen children and stepchildren are not considered in the counting of birth orders. First Goes to MQA BBB - 1 Jan 2006 to 16 Aug 2008 - First Second Goes to MQA BBB - 1 Jan 2006 to 16 Aug 2008 - Second Third and Fourth Goes to MQA BBB - 1 Jan 2006 to 16 Aug 2008 - Third and Fourth",41
"If my spouse and I were not citizens at the time of my child’s birth, what are the pro-rated benefits that my child will receive?",You can check your child’s eligibility and Baby Bonus Benefits on Baby Bonus Online using the “Are You Eligible” tool.,42
What are the Baby Bonus benefits for children of unwed parents?,"Children of unwed parents can enjoy Child Development Account (CDA) benefits if they were born on, or after 1 September 2016. They will receive the CDA First Step Grant when they join the Baby Bonus Scheme and open a CDA. They will also receive Government matching contributions for each dollar saved into the CDA, up to the maximum amount shown in the table below.",43
Are children of unwed parents eligible to join the Baby Bonus Scheme?,"Children of unwed parents are eligible to join the Baby Bonus Scheme if they are Singapore Citizens and were born on, or after 1 September 2016 to the receive CDA benefits. To check if your child is eligible for Baby Bonus, you can use the “Check Eligibility” on Baby Bonus Online.",44
I am not married. Will my child be eligible for the Cash Gift?,"Unmarried parents with a Singaporean child born from 1 September 2016 are eligible for the Baby Bonus Benefits. However, they are not eligible for the cash gift.",45
What other benefits can unwed parents qualify for?,"Apart from the Child Development Account (CDA) benefits available to children of unwed parents born from 1 September 2016 onwards, unwed mothers of Singaporean children born from 1 January 2017 onwards are eligible for Government-paid maternity leave. Government benefits that support the growth and development of children are given to all children regardless of the marital status of their parents. Children of unwed parents have access to social assistance, education and healthcare subsidies like other children. All mothers, regardless of their marital status, are also eligible for infant care and child care subsidies, Medisave Grant for newborns and foreign domestic worker levy concession. If you wish to find out more, please visit the Hey Baby website or the Child Care Link portal.",46
Will I still receive full Baby Bonus benefits if I abandon or give my child up for adoption?,Children who are abandoned or given up for adoption may receive the Baby Bonus Benefits if they meet the eligibility criteria.,47
When will I receive the cash gift and CDA contributions?,"If your child is eligible, you will receive the cash gift within 7 to 10 working days after the child’s birth registration or after the child joins the scheme (whichever is later). You will also receive a notification from the bank that the Child Development Account (CDA) has been opened within the same time frame. The Government matching will be deposited into your child’s CDA within 2 weeks after you have saved into the CDA. If your child is eligible for CDA First Step, you will receive the payment in your child's CDA within 2 weeks after the CDA is opened. You do not need to put in any deposit before receiving CDA First Step. You can check the amount of Baby Bonus Benefits you will receive by going to ‘View/Update My Baby Bonus Details’ on Baby Bonus Online, and select ‘View Statement'.",48
What is Medisave Grant for Newborns?,"The Medisave Grant for Newborns is a grant to help parents defray their child’s healthcare expenses such as MediShield Life premiums, recommended childhood vaccinations, hospitalisations, and approved outpatient treatments. It is administered by the Central Provident Fund Board (CPF). To find out more, please visit the Hey Baby website.",49
Do I need to pay back the Baby Bonus benefits if my child gives up his/her citizenship after 21 years old?,A child will remain a Singapore Citizen until he or she turns 21 years old. We do not recover the Baby Bonus benefits that are already paid out unless fraud or payment error is suspected.,50
Will Baby Bonus benefits be recovered when the child’s parents divorce?,"If a child is a Singapore citizen at birth and meets the eligibility criteria during application, he or she will continue to enjoy the Baby Bonus benefits even if his or her parents subsequently get a divorce. We will not recover benefits that are already paid out unless fraud or payment error is suspected. However, if the child’s existing Child Development Account trustee, or CDA trustee, no longer has the custody, care and control over him or her, the CDA trustee will need to be changed. You can check out ""When do i need to change the Child Development Account (CDA) trustee?"" for more information.",51
What is Baby Bonus Online (BBO)?,"Baby Bonus Online allows you to: Check online if your child qualifies for the Baby Bonus Benefits Join online anytime, anywhere View online the disbursements of your child's Baby Bonus Benefits Update online your account information.",52
When can my child join the Baby Bonus scheme?,"If your child is a Singapore citizen at birth and meets the eligibility criteria, you can join the Baby Bonus scheme 1 working day after the birth registration, or any time before the end of the year which your child turns 12 years old.",53
How do I submit my Baby Bonus supporting documents?,"To submit your Baby Bonus supporting documents, please email us at msf_babybonus@msf.gov.sg.",54
My child was born overseas in 2015 and she just attained Singapore Citizenship. Can I still receive the SG50 Jubilee gift?,"We are sorry to inform you that the registration for the SG50 Jubilee Baby Gift has closed. However, if you have questions on the baby gift under the Embracing Parenthood Movement launched by The People’s Association (PA), you may email your enquiries to pa_familylife@pa.gov.sg.",55
When was Baby Bonus Scheme implemented?,The Baby Bonus Scheme was implemented in April 2001.,56
Can I open a CDA for my child who is 12 and above?,You cannot open a Child Development Account (CDA) for children who are 12 and above.,57
What is the Child Development Co-Savings Scheme?,"The Child Development Co-Savings Scheme refers to the Baby Bonus Scheme, which is part of the Marriage and Parenthood Package. The Baby Bonus Scheme includes a cash gift and/or Government contributions to the Child Development Account (CDA). You can check your child’s eligibility and Baby Bonus Benefits using ""Check Eligibility” on Baby Bonus Online.",58
What is Baby Bonus scheme?,The Baby Bonus Scheme is part of the Marriage and Parenthood Package to help parents lighten the financial cost of raising children. The Baby Bonus Scheme includes a cash gift and/or contributions to the Child Development Account or CDA. The cash gift will be paid to the nominated bank account holder’s bank account while the CDA Government contributions will be credited to the child’s CDA. The CDA Government contributions consist of dollar-for-dollar Government matching and/or CDA First Step. You can check your child’s eligibility and Baby Bonus Benefits using the “Check Eligibility” on Baby Bonus Online.,59
How do I update my child’s new name?,"To update your child’s new name for Baby Bonus, please email a copy of the deed poll or your child’s Certificate of Extract from the Registry of Births to msf_babybonus@msf.gov.sg. Separately, the Child Development Account Trustee also has to update the CDA bank by bringing the original deed poll or Certificate of Extract from the Registry of Births to any bank branch.",60
What is Baby Bonus hotline number?,You may call the Baby Bonus hotline at 1800 253 7707 or (+65) 6253 7707 if you are overseas.,61
I have lost my child’s Baby Bonus card. How do I apply for a replacement Baby Bonus card?,"If you have lost your Child Development Account card or CDA card, you may approach the CDA bank for a replacement card. The CDA card is pre-activated by the respective Managing Agents, which are POSB/DBS, UOB or OCBC. For enquiries on the replacement of a Baby Bonus card, please contact: DBS Bank at 1800 339 6666 or visit their website at www.dbs.com.sg, OCBC Bank at 1800 438 6088, or visit their website at www.ocbc.com/babybonus. UOB at 1800 222 2121 or visit their website at www.uob.com.sg.",62
How is the birth order determined? Are non-Singaporean children/step children and children given up for adoption counted in the birth order?,"The birth order is tied to the number of children born to or adopted by the mother. If there is an adopted child in the family, the birth order is determined by the date of adoption, and not the age of the adopted child. If the adopted child is not a Singapore Citizen, his or her birth order is determined by the date of adoption, or the date the child becomes a Singapore Citizen, whichever is later. Step children, children who are not Singapore citizens, or children given up for adoption are not counted in the birth order.",63
I have another child from my second marriage. Why is the child from my second marriage considered as the first child?,"The birth order is tied to the number of children born to or adopted by the mother. If your second child is the first child born to the child's mother, he or she will be considered the first child.",64
How are twins and triplets counted in birth order?,"For birth order, twins, triplets and other multiple births are counted as separate births. For example, the first twin is considered as the first child and the second twin as the second child.",65
What happens to the counting of birth order when a child passes away?,The deceased child is counted in the birth order when there are subsequent children born to the couple.,66
What happens to the counting of birth order when there is a stillbirth?,"Stillbirths will be counted in the birth order if the child was born on, or after 13 July 2015.",67
There is a change in my children's birth order. Do I need to inform MSF?,"To update the change in your children’s birth order, you can use the 'Change Birth Order' service on Baby Bonus Online. You will be required to upload the following documents:  Birth certificates of your children; Citizenship certificates of your children; and Adoption Order and Schedule of your children, if any.",68
Is my child eligible for the Baby Bonus Scheme?,A child may be eligible for the Baby Bonus Scheme if: he or she is a Singapore Citizen and his or her parents are lawfully married. Children of unwed parents may be eligible for CDA benefits only if they are born on or after 1 September 2016. You can check your child’s eligibility and Baby Bonus Benefits using the “Check Eligibility” on Baby Bonus Online. You will be asked a few questions to determine the child’s eligibility.,69
Is my adopted child eligible for the Baby Bonus Scheme?,"Your adopted child may be eligible for the Baby Bonus Scheme if your child:  was born from 2006 onwards is a Singapore Citizen his or her adoptive parents are lawfully married at the time of the child's adoption (i.e. when the Adoption Order is obtained)2  Please note that: A child born between 1 January 2006 to 16 August 2008, who is the first child, is not eligible for Government matching in the Child Development Account (CDA), or  the fifth child (and above), is not eligible for cash gift and Government matching in the Child Development Accounts (CDA). Children who are adopted by widows, widowers or divorcees are eligible.",70
"If I am married to the child's father after the birth of my child, will my child be eligible for the Baby Bonus scheme?","Your child may be eligible for Baby Bonus Scheme if he or she is a Singapore citizen and below 12 years of age. You need to include the father’s name in the child's birth certificate, if it was not included. Please check with the Immigration and Checkpoints Authority (ICA) on the procedures to do so.  You can email a copy of your child’s birth certificate and your marriage certificate to us at msf_babybonus@msf.gov.sg once available. Your child’s birth certificate must bear both the father’s and the mother’s details. On receiving your documents, we will inform you the next course of actions within 5 to 10 working days.",71
Why are single parents not eligible for the enhanced Baby Bonus scheme?,"Children of unwed parents can enjoy Child Development Account (CDA) benefits if they were born on, or after 1 September 2016. Parents of all Singaporean children, including single parents, are eligible for paid childcare and extended childcare leave, unpaid infant care leave, Medisave grant for newborns, enhanced subsidies for centre-based infant and childcare, and foreign domestic worker concessionary levy. If you wish to find out more details, please visit the Hey Baby website or the Child Care Link portal.",72
"If my child has passed away, what will happen to the Baby Bonus benefits?","If a child has passed away, any outstanding cash gifts will be paid in one lump sum to the Nominated Bank Account Holder. If the child has a Child Development Account (CDA), we will match parents' savings into the CDA until the date of the child's demise and instruct the bank to close the CDA within two months. The money in the CDA will be transferred to the Public Trustee for distribution according to the Interstate Succession Act or Syariah Law.",73
"What will be the Baby Bonus entitlement for my child, who has just obtained Singapore Citizenship?","If either parent is a Singapore Citizen at the time of the child’s birth, the child will be eligible for full Baby Bonus Benefits. The child must obtain his or her Singapore citizenship and join the scheme before 12 years old. If both parents are not Singapore citizens at the time of the child’s birth, the child will be eligible for pro-rated Baby Bonus Benefits. The child must obtain citizenship before 24 months of age in order to be eligible for the cash gift, and before 12 years old in order to be eligible for the Child Development Account. The amount of pro-ration will depend on the date that the child becomes a Singapore citizen. To check if your child is eligible for Baby Bonus, you can use the “Check Eligibility” on Baby Bonus Online.",74
I am currently not married but will be getting married to my child’s father soon. Can my child’s Baby Bonus benefits be reviewed?,"You can email a copy of your child’s birth certificate and marriage certificate to us at msf_babybonus@msf.gov.sg once available. Your child’s birth certificate must bear both the father’s and the mother’s details. On receiving your documents, we will inform you the next course of actions within 5 to 10 working days.",75
Who will be eligible for Government matching contribution?,"A child’s eligibility for Government matching contribution depends on the child’s date of birth and birth order. To check if your child is eligible for Baby Bonus and his or her benefits, you can use “Check Eligibility” on Baby Bonus Online. If your child is already enrolled for the scheme, you can select 'View Account Summary' under Services to check his/her CDA Government contributions cap.",76
I am married but not to my child’s father. Would my child be eligible for Baby Bonus?,"One of the eligibility criteria for the Baby Bonus scheme is that the child’s parents must be lawfully married. If you are married, your spouse’s name must be reflected on your child’s birth certificate to qualify for Baby Bonus. Otherwise, the child may only be eligible for Child Development Account (CDA) benefits if he or she is a Singapore citizen born on or after 1 September 2016.",77
If my spouse and I are Singapore Permanent residents and my child is born in Singapore. Does my child qualify for Baby Bonus?,"If you and your spouse were not Singapore citizens at the time of your child's birth and your child subsequently becomes a citizen, the Baby Bonus Benefits will be pro-rated according to the date of your child's citizenship. You can also check if your child is eligible for Baby Bonus by using “Check Eligibility” on Baby Bonus Online.",78
"My spouse and I are Singaporeans. My baby was born overseas, would he be eligible for Baby Bonus?","For a child who is born overseas to be eligible for Baby Bonus, he or she must obtain Singapore Citizenship first, before joining the Baby Bonus Scheme. To check your child’s eligibility for Baby Bonus and the benefits, you can use “Check Eligibility” on Baby Bonus Online. There are 3 sections in the application form: A, B and C. When you apply, please complete only Section C “Citizenship” and provide the following documents online: Birth certificates of all children; Citizenship certificates of all children, if applicable; Marriage certificate; and NRICs, both front and back, or passports of both parents. It will take between 5 and 7 working days to process your application. However, it may take longer if we need additional documents to support your application. Our officers will contact you for the supporting documents, if required.  You can check your application status by using “View/Update My Baby Bonus Details” on Baby Bonus Online. You can also find out how much Baby Bonus your child can receive using “View Statement” at Family View.",79
